what,kind,bundleId,bundleVersion,description,time
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337289540596
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1337289540975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289541006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289543439
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337289544236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289544598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289549372
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337289549548
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337289563510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337289614119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289616200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289616438
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1337289616458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289618488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289621143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1337289621173
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337289622326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289622753
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289624905
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337289626460
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337289630193
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1337289630640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289630707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289634956
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337289640118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289684580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289706324
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337289706357
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337289712233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337289714460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337289716026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337289719026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337289722129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289724193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289733524
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289738671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289741729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289743548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289748490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337289750871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289754053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289755843
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337289756496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289756898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337289758678
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337289762326
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337289764779
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1337289765151
