what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266038183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337266044205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337266048635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337266052207
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337266078759
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266080085
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266083595
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266084765
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1337266088587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337266090802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337266098087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266099304
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266100489
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337266101254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266101675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266102970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266103001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266103079
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337266103875
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337266106027
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1337266106449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266106480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266110676
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337266114249
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266136475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266139455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266140687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266151155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266152262
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1337266160530
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266161638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266163947
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337266164836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266165351
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266169734
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337266171575
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266186548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337266199792
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337266202818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337266210462
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337266240009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266253111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266268119
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266268150
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266269647
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337266325449
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337266332094
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1337266332500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266332562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266335401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266336571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266337008
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337266337539
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266344851
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337266349531
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266350842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266351887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266354196
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337266354882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266355304
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337266359656
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337266365397
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337266387934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337266413924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337266414111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337266419134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1337266423034
