what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1337962962502
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1337962962503
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1337962962506
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1337962962507
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1337962962507
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1337962962508
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1337962962509
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1337962962509
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1337962962510
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1337962962511
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1337962962512
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1337962962512
started,bundle,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.core",1337962962513
started,bundle,org.eclipse.tm.terminal,3.0.2.R31x_v201002160030,"org.eclipse.tm.terminal",1337962962514
started,bundle,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view",1337962962515
os,sysinfo,,,"win32",1337962962519
arch,sysinfo,,,"x86",1337962962519
ws,sysinfo,,,"win32",1337962962519
locale,sysinfo,,,"es_ES",1337962962519
processors,sysinfo,,,"2",1337962962519
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337962962519
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1337962962519
java.specification.name,sysinfo,,,"Java Platform API Specification",1337962962519
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337962962519
java.specification.version,sysinfo,,,"1.7",1337962962519
java.vendor,sysinfo,,,"Oracle Corporation",1337962962519
java.version,sysinfo,,,"1.7.0_03",1337962962519
java.vm.info,sysinfo,,,"mixed mode, sharing",1337962962519
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1337962962519
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337962962519
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337962962519
java.vm.specification.version,sysinfo,,,"1.7",1337962962519
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337962962519
java.vm.version,sysinfo,,,"22.1-b02",1337962962519
started,bundle,org.eclipse.cdt.codan.ui,2.0.0.201106081058,"org.eclipse.cdt.codan.ui",1337962962613
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1337962967058
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1337962968945
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337962971164
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1337962971608
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1337962971612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962971673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962972652
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962974658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962976639
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337962977396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962977744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962978637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962980133
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962981012
executed,command,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.commands.uploadproject",1337962981579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962981921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962987154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337962988337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337963074112
activated,view,org.eclipse.tm.terminal.view,2.0.101.v200907301400,"org.eclipse.tm.terminal.view.TerminalView",1337963075921
started,bundle,org.eclipse.tm.terminal.serial,2.0.100.v200905272300,"org.eclipse.tm.terminal.serial",1337963075959
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337963149386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337963595851
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337963600322
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1337963610413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337963610504
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers.ui",1337963638407
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1337963662869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337963673111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337963702336
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337963703383
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337963703452
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1337963706398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337963708380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337963708553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1337963709146
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1337963709469
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201106081058,"org.eclipse.cdt.debug.core",1337963712456
started,bundle,org.eclipse.cdt.debug.ui,7.1.0.201106081058,"org.eclipse.cdt.debug.ui",1337963712463
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1337963713007
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337963731165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337963739220
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1337963766709
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1337963772515
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1337963778697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337963825374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337963835454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337963849347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337963849680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337963854618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337963868476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1337963870541
error,log,,,"Internal Error",1337963881366
error,log,,,"Internal Error",1337963884435
error,log,,,"Internal Error",1337963885501
error,log,,,"Internal Error",1337963887910
error,log,,,"Internal Error",1337963911026
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1337963914459
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1337963914828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1337963915417
